"ssn1","name1","surname1","ssn2","name2","surname2","total_days","year"
"00000000621","Νικολέτα","Σταματίου","00000000786","Παναγιώτα","Γεωργίου","17","2023"
"00000000705","Γιώργης","Σπηλιώτης","00000000786","Παναγιώτα","Γεωργίου","17","2023"
"00000000619","Αλέξανδρος","Τσακίρης","00000000673","Λευτέρης","Παπαγεωργίου","17","2024"
"00000000665","Κίμωνας","Λαζαρίδης","00000000773","Αλέξανδρος","Νικολάου","16","2023"
"00000000692","Μαρία","Αλεξίου","00000000697","Βασίλης","Αντωνίου","16","2022"
"00000000670","Αγγελική","Βλάχος","00000000697","Βασίλης","Αντωνίου","16","2022"
"00000000760","Γεωργία","Σταματίου","00000000786","Παναγιώτα","Γεωργίου","16","2022"
"00000000625","Αλέξανδρος","Κοντός","00000000697","Βασίλης","Αντωνίου","16","2022"
"00000000682","Πέτρος","Λαζαρίδης","00000000765","Κώστας","Χριστοδούλου","16","2024"
"00000000700","Θανάσης","Κοντός","00000000773","Αλέξανδρος","Νικολάου","16","2023"
"00000000665","Κίμωνας","Λαζαρίδης","00000000700","Θανάσης","Κοντός","16","2023"
"00000000630","Αλέξανδρος","Δημητρίου","00000000697","Βασίλης","Αντωνίου","16","2022"
